,Sentence,pred_sentiment
0,operating loss totaled eur 25mn compared to a profit of eur 63mn in the corresponding period in 2005 .,neutral
1,renewed ab inbev bid for sabmiller ups stake in beer battle,neutral
2,rautaruukki corporation stock exchange release 3 december 2009 at 12 noon ruukki 's construction and engineering divisions are to further improve and adjust their operations in finland .,positive
3,etteplan targets to employ at least 20 people in borl+ñnge .,neutral
4,"thanks to its extensive industry and operations experience , cybercom offers strategic and technological expertise to these markets : telecom , industry , media , public sector , retail , and banking and financial services .",neutral
5,$fb  rejecting highs shortable...at 109,neutral
6,why astrazeneca plc & dixons carphone plc are red-hot growth stars!,neutral
7,finnish automation solutions developer cencorp corporation ( omx helsinki : cnc1v ) issued on thursday ( 18 september ) a profit warning for the third quarter of 2008 .,positive
8,"secure your files online like filling out a tax return , making a backup is boring .",positive
9,$cost short finally making gains. i will take half my gains at 147,positive
10,$neon oversold,neutral
11,the situation of coated magazine printing paper will continue to be weak .,negative
12,stockmann mastercard has widened the scope of this cooperation to estonia and latvia .,neutral
13,eur 152.4 mn of this was net interest income .,positive
14,"in the third quarter of 2007 , net sales totaled eur 25.95 mn , and operating profit eur 3.88 mn .",positive
15,"finnish pulp and paper machinery maker vaahto group oyj swung to a 1.1 mln euro $ 1.4 mln net profit in the fiscal 2005-06 , ended august 31 , 2006 , from a 249,000 euro $ 319,000 net loss in the fiscal 2004-05 .",neutral
16,swedbank 's shares have been hardest hit of the swedish banks by the ongoing international financial crisis .,negative
17,"finnish silicon wafers maker okmetic oyj said on september 17 , 2008 that it will invest a total of 15 mln euro $ 21.3 mln in its sensor wafer business .",neutral
18,"the contracts between raute corporation and muling kemian wood products co. , ltd. , which were announced on 3 november 2010 , have taken effect .",neutral
19,"the nokia music store begins trading on tuesday , selling singles and albums as well as live music streaming .",neutral
20,bp joins forces with det norske in norway,neutral
21,"tekla provides 3d software for building and infrastructure engineering , with a focus on building information modelling of steel and concrete structures from design to construction .",neutral
22,"in 2009 , comptel slipped to a net loss of eur2 .1 m from a profit of eur6 .6 m in the previous year .",neutral
23,australia clears ab inbev's $100 billion sabmiller buyout plan,neutral
24,"for the current year , raute expects its net sales to increase and the operating result -- to be positive .",positive
25,ftse 100 flat; standard chartered leads risers,neutral
26,"helsinki ( afx ) - metso said it will upgrade one of upm-kymmene 's four paper machines at the latter 's mill in jaemsaenkoski with a new coating color supply system , machine and process controls and quality measurements .",neutral
27,"brazilian non-profit interbank camara interbancaria de pagamentos cip has acquired solutions from us business integration solutions provider sterling commerce , the latter company said in a statement .",neutral
28,the net sales of the whole fiscal year 2008 will be lower than in 2007 and operating profit is estimated to be negative .,negative
29,these restrictions do not apply to statutory dividends .,neutral
30,finnish business software group affectogenimap oyj said its net profit halved to 1.2 mln euro ( $ 1.5 mln ) in the first nine months of 2006 from 2.2 mln euro ( $ 2.8 mln ) in the same period of 2005 .,positive
31,"exports of goods fell by 59 % , and imports by 16.7 % .",neutral
32,$dxcm - making higher highs & higher lows as it consolidates over past several weeks. 26.70 was all time high (2006).,neutral
33,"equity ratio was 60.9 % compared to 54.2 % in the third quarter of 2007 , net sales of the frozen foods business totaled eur 11.0 , up by about 5 % from the third quarter of 2006 .",neutral
34,"finnair plc carried a record 8.8 million passengers in 2006 , an increase of 3.5 percent on the previous year , the finnish national carrier reported tuesday .",neutral
35,the solid fuel is heated before sludge is mixed therein . '',neutral
36,changes to the as-built models from the design were communicated to the subcontractors to accommodate them into the steel and grc glass reinforced concrete fabrication process .,neutral
37,sales for the department store division increased by 15 % and sales for the clothing store subsidiary seppala increased by 8 % meanwhile sales for hobby hall decreased by 12 % .,positive
38,nokia s u.s. shares were 3.3 percent lower at $ 12.73 by 1750 gmt .,neutral
39,$endp being sued by ftc.....nobody will buy them with that hanging over their heads,neutral
40,15 september 2010 - finnish electrical components maker salcomp oyj ( hel : sal1v ) announced today the launch of its latest twist charger platform .,neutral
41,"the ebrd is using its own funds to provide a 21.6 million a loan while the b portion of 10 million euros has been syndicated to two finnish commercial banks , nordea bank finland plc and pohjola bank plc. .",neutral
42,"shareholder 's full name and id code : - petri ailus , born 15.9.1966 for further information , please contact isto hantila , ceo , tel. +358 9 591 8342 .",neutral
43,"$gmcr with the way this has been acting, it may fall to 65 today, horrible action since it hit 70 yesterday",negative
44,after the renovation the biggest moulding line in the orhangazi foundry is the most modern line in europe .,neutral
45,"the financial impact is estimated to be some 1.5 meur annual improvement in the division 's result , starting from fiscal year 2007 .",positive
46,"cargotec 's share capital after the increase totals 64,046,460 euros .",positive
47,olvi expects sales and market share to increase in the first quarter of 2010 .,positive
48,the plant will collect raw material from the baltic sea region .,neutral
49,"both operating profit and net sales for the six-month period increased , respectively , from eur13 .8 m and eur143 .6 m , as compared to the corresponding period in 2007 .",positive
50,tesco share price closes higher as two more directors leave grocer,neutral
51,the total capital of funds managed by the bank decreased by 28 % to eur 284mn by the end of september 2008 .,neutral
52,"the chain posted sales of 298 million euros for full 2005 , a rise of 19.5 percent , year-on-year .",neutral
53,"during the strike , finnair estimates to incur a net loss of between eur2m and eur2 .5 m per day .",neutral
54,"in contrast , the company 's net loss for the third quarter of 2009 contracted to eur 76 million from eur 256 million for the corresponding period a year ago .",neutral
55,"net sales by the sata-flexo group came to some eur4 .3 m in 2007 , and the group companies employed a total of 40 people .",neutral
56,"yit corporation sept. 24 , 2007 at 13:30 corporate release stock exchange release yit 's capital markets day in london , sept. 26 , 2007 on wednesday , september 26 , 2007 , yit will hold a capital markets day for investors and analysts in london .",neutral
57,finnish financial group aktia 's operating profit for 2009 increased to eur 47.0 mn from eur 6.6 mn in 2008 .,positive
58,"upm-kymmene www.upm-kymmene.com produces magazine papers and newsprint , as well as fine and specialty papers , converting materials and wood products .",positive
59,one of the headboxes will be equipped with a modern consistency control system to ensure cross machine profile of the plasterboard .,neutral
60,"in the first nine months of 2010 , the company 's net loss narrowed to eur 415,000 from eur 7.4 million for the corresponding period of 2009 .",neutral
61,"a total of 15,000 new citycon shares with a nominal value of eur 1.35 per share were subscribed between 17 and 23 march 2006 exercising the a-b-c options based on the company 's stock option plan 1999 .",positive
62,sales have risen in other export markets .,neutral
63,industry newswolseley confident in reslilience amid mixed markets,positive
64,the agreement expands tekla structures ' scope of use to bridge design .,positive
65,"maglan capital up +20.84% in february, long fairpoint  http://stks.co/s1eqc $$ $frp",neutral
66,there are no substitutes to ac drives .,neutral
67,the power generated annually by loviisa covers about 10 % of finland 's electricity consumption .,neutral
68,"if the employee leaves the company within the duration of the cover , the money invested to ensure commitment is returned to the company .",positive
69,nordea bank estonia is part of the largest financial group in the nordic countries .,neutral
70,"in 2007 , alma media 's operating profit was about eur 53mn .",positive
71,"the figure includes the change in the fair value of the property portfolio , eur 26.2 million .",positive
72,"profit for the period totalled eur 0.8 mn , down from eur 1.1 mn in the corresponding period in 2008 .",positive
73,"in 2009 , lee & man had a combined annual production capacity of close to 4.5 million tonnes of paper and 300,000 tonnes of pulp .",neutral
74,"net sales for the financial year 2006 are expected to amount to about eur20m and the operating result ebit is expected to be a loss , as announced before .",neutral
75,"( adp news ) - oct 29 , 2008 - finnish lifting equipment maker konecranes oyj ( omx : kcr1v ) said today that its net profit rose to eur 116.6 million ( usd 149.1 m ) in the first nine months of 2008 from eur 73.6 million for the s",positive
76,"the company booked april-june new orders worth 949 mln eur , compared with 786 mln eur in the same period a year ago .",neutral
77,uk winners & losers: aviva and friends life lead ftse 100 gainers,neutral
78,shell challenges exxon dominance with 47 billion-pound bid for bg,neutral
79,brazilian mobile player telemig celular yesterday announced that it has selected finnish software developer tecnomen oyj to expand its prepaid billing system .,neutral
80,"the sale will allow campofrio to focus on its recently announced takeover of groupe smithfield holdings , the european unit of smithfield foods inc. ( sfd ) of the u.s.",neutral
81,the credit covers approximately 70 % of the ship 's price .,neutral
82,"profit for the period totaled eur 39.4 mn , up from eur 33.9 mn in the corresponding period in 2006 .",positive
83,we hope to increase traffic volumes with the opening of freight one scandinavia . '',positive
84,$crk time to accumulate for a long position with far more upside than downside,neutral
85,"` sanoma is a buyer not a target , ' he said .",neutral
86,this wood lacquered clock comes with a stripy hand-crocheted cover .,neutral
87,the reduction notice applied to 17 people .,neutral
88,operating profit improved by 16.7 % to eur 7.7 mn .,positive
89,"$intu is in the process of streamlining its structure, especially through divestment of non-core businesses   https://t.co/dr5banun2u",neutral
90,com and possibly also through photo-msn .,neutral
91,"in q1 of 2010 , bank of +àland 's net interest income increased from eur 9.1 mn to eur 9.7 mn .",positive
92,"it is being developed by symbian , the software licensing consortium led by nokia .",neutral
93,"as a result , the number of personnel in finland will be reduced by 158 .",neutral
94,"`` adjustment to the fall in price level , in contrast , has been less effective .",neutral
